state,stayathome,barlimits
Alabama,2020-03-27,2020-03-17
Alaska,2020-03-28,2020-03-17
Arizona,2020-03-30,2020-03-19
Arkansas,2020-03-26,2020-03-15
California,2020-03-19,2020-03-16
Colorado,2020-03-26,2020-03-16
Connecticut,2020-03-20,2020-03-16
Delaware,2020-03-22,2020-03-16
District of Columbia,2020-03-24,2020-03-20
Florida,2020-04-01,2020-03-17
Georgia,2020-03-23,2020-03-23
Hawaii,2020-03-17,2020-03-17
Idaho,2020-03-25,2020-03-25
Illinois,2020-03-20,2020-03-20
Indiana,2020-03-23,2020-03-16
Iowa,2020-03-17,2020-03-17
Kansas,2020-03-28,2020-03-17
Kentucky,,2020-03-16
Louisiana,2020-03-22,2020-03-16
Maine,2020-03-31,2020-03-18
Maryland,2020-03-30,2020-03-16
Massachusetts,2020-03-23,2020-03-15
Michigan,2020-03-25,2020-03-16
Mississippi,2020-03-31,2020-03-24
Missouri,2020-03-21,2020-03-21
Montana,2020-03-26,2020-03-20
Nebraska,,2020-03-30
Nevada,2020-03-24,2020-03-17
New Hampshire,2020-03-26,2020-03-16
New Jersey,2020-03-21,2020-03-16
New Mexico,2020-03-23,2020-03-15
New York,2020-03-20,2020-03-14
North Carolina,2020-03-27,2020-03-14
North Dakota,,2020-03-19
Ohio,2020-03-22,2020-03-15
Oklahoma,2020-03-24,2020-03-24
Oregon,2020-03-23,2020-03-16
Pennsylvania,2020-03-23,2020-03-16
Rhode Island,2020-03-26,2020-03-16
South Carolina,2020-03-23,2020-03-23
Tennessee,2020-03-22,2020-03-22
Texas,2020-03-31,2020-03-19
Utah,2020-03-27,2020-03-18
Vermont,2020-03-24,2020-03-16
Virginia,2020-03-30,2020-03-13
Washington,2020-03-16,2020-03-15
West Virginia,2020-03-23,2020-03-17
Wisconsin,2020-03-24,2020-03-17
Wyoming,2020-03-27,2020-03-19